	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042119	GO:0042119	neutrophil activation	84/538	498/18670	1.259720867837901e-40	5.928246404045162e-37	4.1716651054926704e-37	S100A8/TLR2/FCGR2A/CD14/PTPRC/FCGR2B/SYK/GMFG/LAIR1/LILRB2/CTSS/ITGB2/MNDA/FPR1/C3AR1/LYZ/GLIPR1/NCKAP1L/VAMP8/DOCK2/PYCARD/PLAUR/FCER1G/NPC2/C5AR1/CD33/CD53/S100A9/CTSC/SERPINA1/TNFRSF1B/RNASE2/CYBB/TYROBP/FGL2/CFD/CTSB/CYBA/TCIRG1/CD93/CREG1/FUCA1/BIN2/STOM/SERPINB1/RNASET2/PTPN6/CTSH/FCGR3B/S100A11/ANPEP/CCL5/PLAU/HP/SELL/MVP/OSTF1/C3/SLC2A5/FGR/RAB27A/CXCL6/IL18/CLEC5A/ANXA2/SLPI/LTF/CXCL1/CD55/MMP9/CRISPLD2/PTX3/CD36/PPBP/OLR1/CD44/CHI3L1/PLAC8/LGALS3/BST2/TNFAIP6/ALDOC/SERPINA3/FABP5	84
GO:0002446	GO:0002446	neutrophil mediated immunity	82/538	499/18670	9.02571920028541e-39	2.123751727827157e-35	1.4944690844262056e-35	S100A8/TLR2/FCGR2A/CD14/PTPRC/SYK/GMFG/LAIR1/LILRB2/CTSS/ITGB2/MNDA/FPR1/C3AR1/LYZ/GLIPR1/NCKAP1L/VAMP8/DOCK2/PYCARD/PLAUR/FCER1G/NPC2/C5AR1/CD33/CD53/S100A9/CTSC/SERPINA1/TNFRSF1B/RNASE2/CYBB/TYROBP/FGL2/CFD/CTSB/CYBA/TCIRG1/CD93/CREG1/FUCA1/BIN2/STOM/SERPINB1/RNASET2/PTPN6/CTSH/FCGR3B/S100A11/ANPEP/PLAU/HP/SELL/MVP/OSTF1/C3/SLC2A5/FGR/RAB27A/CXCL6/IL6/CLEC5A/ANXA2/SLPI/LTF/CXCL1/CD55/MMP9/CRISPLD2/PTX3/CD36/PPBP/OLR1/CD44/CHI3L1/PLAC8/LGALS3/BST2/TNFAIP6/ALDOC/SERPINA3/FABP5	82
GO:0043312	GO:0043312	neutrophil degranulation	80/538	485/18670	6.130594289631035e-38	9.616858909001218e-35	6.7673156614664e-35	S100A8/TLR2/FCGR2A/CD14/PTPRC/SYK/GMFG/LAIR1/LILRB2/CTSS/ITGB2/MNDA/FPR1/C3AR1/LYZ/GLIPR1/NCKAP1L/VAMP8/DOCK2/PYCARD/PLAUR/FCER1G/NPC2/C5AR1/CD33/CD53/S100A9/CTSC/SERPINA1/TNFRSF1B/RNASE2/CYBB/TYROBP/FGL2/CFD/CTSB/CYBA/TCIRG1/CD93/CREG1/FUCA1/BIN2/STOM/SERPINB1/RNASET2/PTPN6/CTSH/FCGR3B/S100A11/ANPEP/PLAU/HP/SELL/MVP/OSTF1/C3/SLC2A5/FGR/RAB27A/CLEC5A/ANXA2/SLPI/LTF/CXCL1/CD55/MMP9/CRISPLD2/PTX3/CD36/PPBP/OLR1/CD44/CHI3L1/PLAC8/LGALS3/BST2/TNFAIP6/ALDOC/SERPINA3/FABP5	80
GO:0002283	GO:0002283	neutrophil activation involved in immune response	80/538	488/18670	9.739952483602201e-38	1.145905409695799e-34	8.063655398266455e-35	S100A8/TLR2/FCGR2A/CD14/PTPRC/SYK/GMFG/LAIR1/LILRB2/CTSS/ITGB2/MNDA/FPR1/C3AR1/LYZ/GLIPR1/NCKAP1L/VAMP8/DOCK2/PYCARD/PLAUR/FCER1G/NPC2/C5AR1/CD33/CD53/S100A9/CTSC/SERPINA1/TNFRSF1B/RNASE2/CYBB/TYROBP/FGL2/CFD/CTSB/CYBA/TCIRG1/CD93/CREG1/FUCA1/BIN2/STOM/SERPINB1/RNASET2/PTPN6/CTSH/FCGR3B/S100A11/ANPEP/PLAU/HP/SELL/MVP/OSTF1/C3/SLC2A5/FGR/RAB27A/CLEC5A/ANXA2/SLPI/LTF/CXCL1/CD55/MMP9/CRISPLD2/PTX3/CD36/PPBP/OLR1/CD44/CHI3L1/PLAC8/LGALS3/BST2/TNFAIP6/ALDOC/SERPINA3/FABP5	80
GO:0050900	GO:0050900	leukocyte migration	72/538	499/18670	2.7566665052841886e-30	2.5945745147734783e-27	1.8257837527629595e-27	IL1R1/S100A8/THBD/AIF1/SYK/SLC7A7/SLAMF8/CCR1/HCK/CCR5/ITGB2/C3AR1/NCKAP1L/PYCARD/PTGER4/FCER1G/C5AR1/COL1A2/S100A9/COL1A1/CCL2/TREM1/THBS1/LYN/FN1/CH25H/PTPN6/CXCL12/CCL20/CCL5/SDC2/ICAM1/SELL/CD2/RAC2/HMOX1/IL1B/CD74/GYPC/CCL18/ITGA5/CORO1A/CXCR4/CXCL6/IL6/TREM2/CD48/CXCL2/CXCL1/SERPINE1/CXCL14/DUSP1/CXCL5/VCAM1/MMP1/IGKC/PPBP/CXCL3/CXCL13/OLR1/SDC1/ANXA1/CCL4/CD44/CAV1/SLIT2/CXCL9/CXCL10/RARRES2/SDC4/LGALS3/CX3CR1	72
GO:0043062	GO:0043062	extracellular structure organization	64/538	422/18670	3.269372625997557e-28	2.4914411049039784e-25	1.7532095009792463e-25	COL6A3/COL3A1/LUM/CTSS/ITGB2/COL1A2/COL1A1/TGFBI/TNFRSF1B/CYP1B1/COL5A1/THBS1/DCN/FN1/COL15A1/LCP1/FAP/FBN1/COL8A2/ICAM1/COL5A2/ITGA5/IBSP/BCAN/COL6A2/SULF1/PLA2G2A/TIMP1/IL6/CTSK/POSTN/COL18A1/EGFL6/ANXA2/APOC1/NID2/LAMB1/LOX/MMP9/SERPINE1/APBB2/CRISPLD2/A2M/PLTP/VCAM1/PTX3/MMP1/CD36/SPINT2/COL4A1/LOXL1/MMP7/APOC2/SDC1/CD44/FMOD/COL9A3/SPP1/FBLN5/ECM2/SDC4/NCAN/PDPN/AEBP1	64
GO:0002237	GO:0002237	response to molecule of bacterial origin	58/538	343/18670	3.7059259953947827e-28	2.4914411049039784e-25	1.7532095009792463e-25	S100A8/TLR2/CD14/THBD/IL10RA/CSF2RB/FCGR2B/LILRB2/HCK/CCR5/PYCARD/PTGER4/C5AR1/TNFAIP3/PLCG2/CD86/TNFRSF1B/CCL2/CEBPB/LY96/LILRB1/TLR1/DCN/LYN/LY86/HAMP/IRF8/CCL5/CASP1/ICAM1/IL1B/MGST2/CXCL6/IL6/IL18/TREM2/SLPI/LTF/CXCL2/CXCL1/PTGS2/JUNB/CD55/SPON2/SERPINE1/CXCL5/ZFP36/VCAM1/CD36/PPBP/CXCL3/ACP5/LOXL1/CXCL13/CXCL9/CXCL10/ASS1/CX3CR1	58
GO:0032496	GO:0032496	response to lipopolysaccharide	56/538	330/18670	2.7291585332179365e-27	1.6054275071654512e-24	1.1297279928294249e-24	S100A8/TLR2/CD14/THBD/IL10RA/CSF2RB/LILRB2/HCK/CCR5/PYCARD/PTGER4/C5AR1/TNFAIP3/PLCG2/CD86/TNFRSF1B/CCL2/CEBPB/LY96/LILRB1/DCN/LYN/LY86/HAMP/IRF8/CCL5/CASP1/ICAM1/IL1B/MGST2/CXCL6/IL6/IL18/TREM2/SLPI/LTF/CXCL2/CXCL1/PTGS2/JUNB/CD55/SPON2/SERPINE1/CXCL5/ZFP36/VCAM1/CD36/PPBP/CXCL3/ACP5/LOXL1/CXCL13/CXCL9/CXCL10/ASS1/CX3CR1	56
GO:0030198	GO:0030198	extracellular matrix organization	57/538	368/18670	1.1460950067191758e-25	5.992803446244935e-23	4.2170934399281027e-23	COL6A3/COL3A1/LUM/CTSS/ITGB2/COL1A2/COL1A1/TGFBI/TNFRSF1B/CYP1B1/COL5A1/THBS1/DCN/FN1/COL15A1/LCP1/FAP/FBN1/COL8A2/ICAM1/COL5A2/ITGA5/IBSP/BCAN/COL6A2/SULF1/TIMP1/IL6/CTSK/POSTN/COL18A1/EGFL6/ANXA2/NID2/LAMB1/LOX/MMP9/SERPINE1/APBB2/CRISPLD2/A2M/VCAM1/PTX3/MMP1/SPINT2/COL4A1/LOXL1/MMP7/CD44/FMOD/COL9A3/SPP1/FBLN5/ECM2/NCAN/PDPN/AEBP1	57
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	43/538	212/18670	2.3053210455826326e-24	1.084884084051187e-21	7.634252641476803e-22	TLR2/CD14/FCGR2B/LILRB2/HCK/CCR5/PYCARD/TNFAIP3/CD86/TNFRSF1B/CCL2/CEBPB/LY96/LILRB1/TLR1/LYN/LY86/HAMP/IRF8/CCL5/CASP1/ICAM1/IL1B/CXCL6/IL6/IL18/TREM2/LTF/CXCL2/CXCL1/CD55/SPON2/SERPINE1/CXCL5/ZFP36/CD36/PPBP/CXCL3/CXCL13/CXCL9/CXCL10/ASS1/CX3CR1	43
