	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0062023	GO:0062023	collagen-containing extracellular matrix	68/554	406/19717	2.8022273764322447e-33	1.2638045467709423e-30	9.675058731260803e-31	F13A1/COL6A3/S100A8/COL3A1/LUM/CTSS/LTBP2/COL1A2/S100A9/CTSC/SERPINA1/C1QA/COL1A1/TGFBI/FGL2/CTSB/COL5A1/THBS1/DCN/C1QB/ASPN/S100A4/FN1/COL15A1/SERPINB1/CXCL12/SERPINF1/CTSH/MXRA5/FBN1/SDC2/COL8A2/MGP/SERPING1/ICAM1/COL5A2/COL6A2/SULF1/PCOLCE/ANXA4/TIMP1/SRPX2/POSTN/COL18A1/EGFL6/ANXA2/ADAMTS1/SLPI/NID2/LAMB1/MMP9/SERPINE1/A2M/COL4A1/THBS2/LOXL1/EFEMP1/LRRC15/ANXA1/S100A10/FMOD/COL9A3/FBLN5/ECM2/RARRES2/LGALS3/AEBP1/SERPINA3	68
GO:0034774	GO:0034774	secretory granule lumen	49/554	321/19717	2.4605345403534167e-22	5.548505388496954e-20	4.2476596275574775e-20	F13A1/S100A8/GMFG/MNDA/LYZ/DOCK2/PYCARD/NPC2/S100A9/CTSC/SERPINA1/RNASE2/SRGN/CFD/THBS1/CREG1/FUCA1/BIN2/FN1/SERPINB1/RNASET2/PTPN6/CTSH/S100A11/SERPING1/HP/MVP/OSTF1/C3/ISLR/FGR/RAB27A/TIMP1/ANXA2/SLPI/LTF/CXCL1/SERPINE1/CRISPLD2/A2M/PTX3/SCG3/PPBP/CHI3L1/PLAC8/RARRES2/ALDOC/SERPINA3/FABP5	49
GO:0060205	GO:0060205	cytoplasmic vesicle lumen	49/554	338/19717	2.4427733357393868e-21	3.1376929911610545e-19	2.4020616200276017e-19	F13A1/S100A8/GMFG/MNDA/LYZ/DOCK2/PYCARD/NPC2/S100A9/CTSC/SERPINA1/RNASE2/SRGN/CFD/THBS1/CREG1/FUCA1/BIN2/FN1/SERPINB1/RNASET2/PTPN6/CTSH/S100A11/SERPING1/HP/MVP/OSTF1/C3/ISLR/FGR/RAB27A/TIMP1/ANXA2/SLPI/LTF/CXCL1/SERPINE1/CRISPLD2/A2M/PTX3/SCG3/PPBP/CHI3L1/PLAC8/RARRES2/ALDOC/SERPINA3/FABP5	49
GO:0031983	GO:0031983	vesicle lumen	49/554	339/19717	2.7828762671051483e-21	3.1376929911610545e-19	2.4020616200276017e-19	F13A1/S100A8/GMFG/MNDA/LYZ/DOCK2/PYCARD/NPC2/S100A9/CTSC/SERPINA1/RNASE2/SRGN/CFD/THBS1/CREG1/FUCA1/BIN2/FN1/SERPINB1/RNASET2/PTPN6/CTSH/S100A11/SERPING1/HP/MVP/OSTF1/C3/ISLR/FGR/RAB27A/TIMP1/ANXA2/SLPI/LTF/CXCL1/SERPINE1/CRISPLD2/A2M/PTX3/SCG3/PPBP/CHI3L1/PLAC8/RARRES2/ALDOC/SERPINA3/FABP5	49
GO:0030667	GO:0030667	secretory granule membrane	43/554	298/19717	8.965160903868061e-19	8.086575135288992e-17	6.190679529407841e-17	TLR2/FCGR2A/CD14/PTPRC/LAIR1/LILRB2/ITGB2/FPR1/C3AR1/GLIPR1/NCKAP1L/VAMP8/PLAUR/FCER1G/C5AR1/CD33/CD53/TNFRSF1B/CYBB/TYROBP/LHFPL2/CYBA/TCIRG1/CD93/STOM/FCGR3B/ANPEP/PLAU/SELL/SLC2A5/RAB27A/CLEC5A/CD55/CAV2/SCG3/CD36/OLR1/CD44/CAV1/LGALS3/BST2/MOXD1/FABP5	43
GO:0070820	GO:0070820	tertiary granule	31/554	164/19717	2.9429400803881657e-17	2.2121099604251045e-15	1.6934813094163483e-15	LAIR1/LILRB2/CTSS/ITGB2/FPR1/LYZ/NCKAP1L/VAMP8/FCER1G/CD33/CD53/CYBB/CYBA/TCIRG1/CD93/STOM/PTPN6/CTSH/PLAU/HP/CLEC5A/LTF/CXCL1/CD55/MMP9/PTX3/PPBP/OLR1/LGALS3/TNFAIP6/ALDOC	31
GO:0005775	GO:0005775	vacuolar lumen	28/554	172/19717	5.4266421193520485e-14	3.496307994039677e-12	2.6765994212743945e-12	IFI30/LUM/CTSS/MNDA/LYZ/PYCARD/NPC2/CTSC/RNASE2/CTSB/DCN/CREG1/FUCA1/RNASET2/SDC2/CD74/C3/BCAN/CTSK/ANXA2/CSPG5/SDC1/FMOD/PLAC8/SDC4/NCAN/SERPINA3/FABP5	28
GO:0042581	GO:0042581	specific granule	27/554	160/19717	6.232561146297547e-14	3.5136063462252424e-12	2.6898421789284154e-12	LAIR1/ITGB2/C3AR1/LYZ/VAMP8/DOCK2/PLAUR/CD33/CD53/TNFRSF1B/CYBB/CYBA/CD93/STOM/PTPN6/PLAU/HP/SLC2A5/RAB27A/CLEC5A/SLPI/LTF/CXCL1/PTX3/CD36/OLR1/CHI3L1	27
GO:0005788	GO:0005788	endoplasmic reticulum lumen	37/554	309/19717	1.0542631694552936e-13	5.283029882492638e-12	4.044424790424987e-12	COL6A3/COL3A1/PLAUR/COL1A2/CTSC/SERPINA1/COL1A1/CD4/COL5A1/THBS1/FN1/COL15A1/MGAT4A/RNASET2/FBN1/SDC2/COL8A2/COL5A2/P4HA2/C3/COL6A2/IGFBP4/PRSS23/MXRA8/TIMP1/IL6/COL18A1/FSTL1/CP/LAMB1/PTGS2/SCG3/COL4A1/COL9A3/SPP1/BCHE/IGFBP3	37
GO:0009897	GO:0009897	external side of plasma membrane	41/554	393/19717	4.979537835633958e-13	2.2457715638709153e-11	1.7192509579873037e-11	IL1R1/CD14/PTPRC/FCGR2B/CCR1/CD163/CCR5/ITGB2/FCER1G/CD33/CD86/FOLR2/LILRB1/CD4/IL7R/TGFBR2/THBS1/CXCL12/IL13RA1/ANPEP/CD248/FCGRT/ICAM1/CD2/CD74/ITGA5/CXCR4/CD69/CD3D/VCAM1/CD36/IGKC/SDC1/ANXA1/CXCL9/NLGN1/CXCL10/GRIA2/ASTN1/CX3CR1/IL13RA2	41
