	logFC	AveExpr	t	P.Value	adj.P.Val	B
F13A1	2.407161418459963	7.688666631177288	15.762652423946847	2.979553899971722e-44	3.5879788063459477e-40	89.785814064021
IL1R1	0.7207348569214433	5.15558433016006	15.363193083355082	1.5469485097509755e-42	9.314176977210623e-39	85.88233489384525
CSTA	1.67993117598395	6.982749591215405	15.274787774459947	3.694241925603137e-42	1.482868708937099e-38	85.02203828617965
DSE	1.2563950462659532	7.479217550909386	15.181687830743797	9.22574804194333e-42	2.7774114480270396e-38	84.11754046189714
CLEC7A	1.0609350217323863	6.571673880596838	14.801463872566341	3.811135998660522e-40	7.648949949311668e-37	80.44014122875637
COL6A3	2.501899843436102	7.422711979291833	14.752127029158023	6.163909982844292e-40	1.0603686287630138e-36	79.96501709351038
IL4R	0.8053789363657842	5.906584712136266	14.507437179590248	6.64083650641351e-39	9.996119151278936e-36	77.61594679392832
MAP3K8	1.0657322930026547	5.112773635707297	14.44771908734853	1.1839846882841445e-38	1.5841715129241852e-35	77.04455124855255
S100A8	1.7465530339629387	6.849136645720414	14.368873516181024	2.537393752813661e-38	3.055529557138211e-35	76.291323240502
TLR2	1.2031993287619658	6.712452822419588	14.329059055733525	3.7267245685806884e-38	3.6972142961022185e-35	75.91148645366715
FCGR2A	1.2846604112722062	7.363194229171509	14.32366854662288	3.925704296296705e-38	3.6972142961022185e-35	75.86008710005936
CD14	1.5888917423017919	9.547658288171716	14.320169024634009	4.0605204704266865e-38	3.6972142961022185e-35	75.82672207048397
THBD	1.060314777885318	5.621600707839604	14.314268516675986	4.2983723754717705e-38	3.6972142961022185e-35	75.77047182062401
IFI30	1.2597486483576894	9.379982974214052	14.297228977477287	5.066154186463209e-38	4.067108580892664e-35	75.60807551193797
IL10RA	1.2453722468099553	6.42934053005095	14.110585147305	3.052142883362263e-37	2.297119037590523e-34	73.8335715775408
AIF1	1.059518634222031	7.507647614699975	14.066867054376981	4.6428255441048696e-37	3.288759129535932e-34	73.4190898568999
PTPRC	1.2260202868720418	6.892718755085641	14.012614292863603	7.808824681208787e-37	5.224103711728679e-34	72.90535954557086
COL3A1	2.1178578436482782	8.950277169370304	13.84319886311537	3.942002798935172e-36	2.4983998791988073e-33	71.30570052583157
CSF2RB	0.9910387633238491	5.441640073375633	13.83293130394094	4.347428156844279e-36	2.6175864932359402e-33	71.20897826425036
MAFB	1.4334690893768265	9.43597673611121	13.827192302019462	4.591887859452061e-36	2.6331196954057962e-33	71.15492725494423
LUM	2.082653609160051	7.076066311991099	13.764553453694118	8.338285558891782e-36	4.564074304553402e-33	70.56551845874122
FCGR2B	1.6295651262128974	6.478487800254639	13.67885398302356	1.8829848638187354e-35	9.858653795697918e-33	69.7607256293529
SYK	0.9532276517747587	6.3716970162669195	13.637101661064197	2.798372042112428e-35	1.4040831721299106e-32	69.36931726703934
GMFG	1.1045543901586354	7.63351176127482	13.60608717477755	3.754802555093483e-35	1.8086132947374291e-32	69.07886375072546
MS4A6A	1.3436486306550313	8.509339503141689	13.505889294988167	9.690285684407578e-35	4.394542057847605e-32	68.14222752139287
LAIR1	0.8730949892855326	5.915289306795831	13.504124414853916	9.853233313559653e-35	4.394542057847605e-32	68.12575350925759
LILRB2	0.7248562882933305	4.864261314490402	13.498642156186655	1.037702620173344e-34	4.4628624829026455e-32	68.07458548316288
SLC7A7	0.9516966049863003	7.12047486449713	13.477759007408004	1.2639392174962776e-34	5.248398640375923e-32	67.87974869845704
SLAMF8	0.940121497061746	5.429103136912771	13.447868136414172	1.6758558410551001e-34	6.726885345995171e-32	67.60107500880808
STAB1	1.1715644609808917	7.533728294519137	13.396433892233002	2.721442601115404e-34	1.0571487678268289e-31	67.12211750712123
CCR1	1.0507517870790615	6.61039206183922	13.386246238386185	2.995494533642897e-34	1.1129090414727876e-31	67.02733517844852
CTSS	1.2221364887003636	7.105943863583584	13.383454610717394	3.0752798764742786e-34	1.1129090414727876e-31	67.00136781651456
MS4A4A	1.6357564038528007	8.088765794353883	13.381166749054685	3.1422444286725444e-34	1.1129090414727876e-31	66.98008801204503
CD163	1.9246725499727546	9.200245625348028	13.339883144765045	4.633893605335611e-34	1.5575719768543737e-31	66.59634895330997
LTBP2	1.1674048305059266	6.6573728420051355	13.339367489801518	4.656418465932358e-34	1.5575719768543737e-31	66.5915588099344
HCK	1.2164101673384993	6.423791477051528	13.325487380637345	5.305504103516328e-34	1.7267264976903682e-31	66.46264806335269
CCR5	0.7211683413252468	6.026364742025202	13.29329526283639	7.179313199754137e-34	2.27508656714314e-31	66.16387127977484
ITGB2	1.2678326247069789	8.579457125779255	13.284192717529267	7.81991626984338e-34	2.414549531319333e-31	66.07944240174989
GIMAP4	1.1308084830705223	7.542928242846892	13.264151331051796	9.438290158360647e-34	2.8413972521744727e-31	65.89363410825344
MNDA	1.3323592548400258	6.531575351399478	13.245341816328237	1.1259493300495286e-33	3.2600695059980866e-31	65.71934928855214
GNA15	0.7266016969701399	5.546707116448318	13.244296113600862	1.1370446707516993e-33	3.2600695059980866e-31	65.70966295782036
NCF4	0.807841897906397	5.082705197783248	13.236868160547221	1.2190581379507003e-33	3.413929790047054e-31	65.64086679500315
FPR1	0.6768057050845044	6.0695388144244005	13.212298297855467	1.534707638284407e-33	4.200215768232007e-31	65.41341684863518
C3AR1	1.1526135612383612	7.651243014229053	13.099955630586962	4.388523084060254e-33	1.174368777294524e-30	64.3756235837233
CENTA2	0.8523876960296439	7.335603124254879	13.081697556916286	5.203874085266641e-33	1.3622837333648022e-30	64.20730372134862
LYZ	1.7668156345549404	8.105259310238141	12.901723441823163	2.7769725581219747e-32	7.11495820104358e-30	62.55338384033345
MYO1F	0.8127705926308506	6.325072265770441	12.872214391191319	3.651009082865162e-32	9.159469036637976e-30	62.283125710574026
C1orf38	0.9812811385867981	5.95424097370364	12.854339139077052	4.3086979931469064e-32	1.0588845149688784e-29	62.11954389495398
GLIPR1	1.243622396344505	7.5043668075530245	12.801002958401593	7.058775393043047e-32	1.7000354656604874e-29	61.632027854167006
DAB2	1.086798684622507	7.40874438962732	12.796794862735549	7.338843395872603e-32	1.7328304347666252e-29	61.59360113837306
NCKAP1L	0.8233460245680586	5.631899466232449	12.772469038869183	9.188940165347841e-32	2.127946489829206e-29	61.37157401001231
VAMP8	1.3074539934703022	8.908634877335723	12.769008251246213	9.48745517613098e-32	2.1556214194522503e-29	61.340001492303614
