	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05323	hsa05323	Rheumatoid arthritis	29/319	93/8011	7.449583931290116e-19	1.9070934864102697e-16	1.4271834478892644e-16	7097/3689/942/3108/6347/3109/10312/3115/3119/3122/6387/3123/6364/6352/3113/3383/3553/6372/3569/3606/1513/2920/2919/6374/4312/2921/54/534/3117	29
hsa04640	hsa04640	Hematopoietic cell lineage	27/319	99/8011	5.63164415696742e-16	7.208504520918298e-14	5.394522297726687e-14	3554/3566/929/945/3108/3109/2209/920/3575/3115/3119/3122/1436/3123/290/3113/914/3553/3678/951/3569/915/1604/948/7850/960/3117	27
hsa04145	hsa04145	Phagosome	32/319	152/8011	3.4989709366381544e-15	2.9857885325978916e-13	2.2344305630461197e-13	64581/7097/2212/929/2213/1520/3689/4689/4688/3108/1536/3109/2209/1535/7057/10312/3115/3119/3122/3123/2215/81035/3113/8685/718/3678/11151/948/7058/4973/534/3117	32
hsa04061	hsa04061	Viral protein interaction with cytokine and cytokine receptor	26/319	100/8011	7.102665729032679e-15	4.5457060665809145e-13	3.401803059694599e-13	3587/1230/1234/7133/6347/1436/6387/6364/6352/8743/6362/7852/6372/3569/3606/2920/2919/9547/6374/5473/2921/10563/6351/4283/3627/1524	26
hsa05140	hsa05140	Leishmaniasis	23/319	77/8011	1.0005161971403301e-14	5.12264292935849e-13	3.833556797464002e-13	7097/2212/3689/4689/4688/3108/1536/3109/2209/1535/3115/3119/3122/5777/3123/2215/3113/3553/718/5743/65108/3117/1917	23
hsa05150	hsa05150	Staphylococcus aureus infection	25/319	96/8011	2.3007450870916058e-14	9.816512371590851e-13	7.346238699134602e-13	2212/2213/3689/2357/719/728/712/716/3108/3109/1675/2209/717/3115/713/3119/3122/3123/2215/3113/3383/3426/718/3075/3117	25
hsa04610	hsa04610	Complement and coagulation cascades	22/319	85/8011	1.0063523399679535e-12	3.680374271882801e-11	2.7542274567543996e-11	2162/7056/3689/719/5329/728/5265/712/716/1675/11326/717/713/710/5328/3426/718/3075/1604/5054/730/2	22
hsa04060	hsa04060	Cytokine-cytokine receptor interaction	39/319	294/8011	1.97239941388766e-11	6.311678124440512e-10	4.723377543783607e-10	3554/3566/3587/1439/1230/1234/7133/6347/920/3575/7048/1436/6387/6364/3597/6352/9235/8743/355/3553/6362/7852/6372/3569/3606/2920/2919/9547/6374/5473/2921/7850/10563/3976/6351/4283/3627/1524/3598	39
hsa04668	hsa04668	TNF signaling pathway	23/319	112/8011	5.343990715724963e-11	1.5200684702506561e-09	1.1375512400724484e-09	1326/7128/7133/6347/1051/6364/6352/330/3383/355/3553/6372/3569/2920/2919/5743/3726/4318/6374/7412/2921/3976/3627	23
hsa05152	hsa05152	Tuberculosis	29/319	180/8011	8.271181226145156e-11	2.11742239389316e-09	1.5845841927983352e-09	64581/7097/2212/929/3587/2213/6850/1520/3689/2207/3108/3109/1051/2209/7096/10312/3115/3119/3122/3123/2215/3113/3553/972/718/11151/3569/3606/3117	29
