	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	GO:0005201	extracellular matrix structural constituent	35/532	163/17697	2.5402501882520855e-20	1.7603933804586952e-17	1.4786930043193722e-17	COL6A3/COL3A1/LUM/LTBP2/COL1A2/COL1A1/TGFBI/FGL2/CD4/COL5A1/THBS1/DCN/ASPN/FN1/COL15A1/MXRA5/FBN1/COL8A2/MGP/COL5A2/COL6A2/PCOLCE/SRPX2/POSTN/COL18A1/NID2/LAMB1/COL4A1/THBS2/EFEMP1/FMOD/COL9A3/CHI3L1/FBLN5/AEBP1	35
GO:0005539	GO:0005539	glycosaminoglycan binding	35/532	229/17697	1.9701805063043037e-15	6.826675454344412e-13	5.734262210454105e-13	TLR2/PTPRC/STAB1/LTBP2/TGFBR2/COL5A1/THBS1/DCN/FN1/LYVE1/FBN1/SELL/BCAN/SULF1/GPNMB/PCOLCE/CXCL6/ANXA4/CFH/TREM2/POSTN/FSTL1/ADAMTS1/LTF/CRISPLD2/THBS2/MMP7/CXCL13/CD44/SLIT2/CXCL10/ECM2/NCAN/TNFAIP6/PLA2G5	35
GO:0008009	GO:0008009	chemokine activity	16/532	49/17697	4.766082548798886e-13	1.1009650687725427e-10	9.247872454336087e-11	CCL2/CXCL12/CCL20/CCL5/CCL18/CXCL6/CXCL2/CXCL1/CXCL14/CXCL5/PPBP/CXCL3/CXCL13/CCL4/CXCL9/CXCL10	16
GO:0005178	GO:0005178	integrin binding	24/532	132/17697	1.1782859573758951e-12	2.0413804211537383e-10	1.7147161432338687e-10	COL3A1/SYK/ITGB2/TGFBI/COL5A1/THBS1/LYN/FN1/CXCL12/LCP1/FAP/FBN1/ICAM1/IL1B/ITGA5/IBSP/GPNMB/EGFL6/ITGBL1/LAMB1/VCAM1/SPP1/FBLN5/ECM2	24
GO:0042379	GO:0042379	chemokine receptor binding	16/532	66/17697	7.591912653240904e-11	1.0522390937391893e-08	8.838584625773097e-09	CCL2/CXCL12/CCL20/CCL5/CCL18/CXCL6/CXCL2/CXCL1/CXCL14/CXCL5/PPBP/CXCL3/CXCL13/CCL4/CXCL9/CXCL10	16
GO:0005518	GO:0005518	collagen binding	16/532	67/17697	9.700459380093306e-11	1.1204030584007769e-08	9.41114743366947e-09	LUM/CTSS/TGFBI/CTSB/THBS1/DCN/ASPN/FN1/PCOLCE/CTSK/NID2/MMP9/LRRC15/CD44/ECM2/AEBP1	16
GO:0019955	GO:0019955	cytokine binding	21/532	128/17697	2.2867977757203352e-10	2.263929797963132e-08	1.901652887177963e-08	IL1R1/IL10RA/CCR1/CCR5/TNFRSF1B/CD4/TGFBR2/THBS1/CSF1R/IL13RA1/LRRC32/CD74/CXCR4/ZFP36/A2M/CD36/IL1R2/GBP1/PDPN/CX3CR1/IL13RA2	21
GO:0008201	GO:0008201	heparin binding	24/532	169/17697	2.628559792609314e-10	2.276989920347818e-08	1.9126231122538827e-08	PTPRC/LTBP2/COL5A1/THBS1/FN1/FBN1/SELL/GPNMB/PCOLCE/CXCL6/ANXA4/CFH/POSTN/FSTL1/ADAMTS1/LTF/CRISPLD2/THBS2/MMP7/CXCL13/SLIT2/CXCL10/ECM2/PLA2G5	24
GO:0061134	GO:0061134	peptidase regulator activity	27/532	219/17697	5.240344869430289e-10	4.0350655494613224e-08	3.389369254730936e-08	CSTA/COL6A3/PYCARD/CTSC/SERPINA1/TNFAIP8/FN1/SERPINB1/SERPINF1/CTSH/RARRES1/BIRC3/CASP1/SERPING1/C3/PCOLCE/TIMP1/PI3/SLPI/LTF/SERPINE1/A2M/SPINT2/BIRC5/CAV1/BST2/SERPINA3	27
GO:0019838	GO:0019838	growth factor binding	21/532	137/17697	8.35653297748584e-10	5.791077353397687e-08	4.864381827947021e-08	IL1R1/IL10RA/COL3A1/LTBP2/COL1A2/COL1A1/TGFBR2/COL5A1/THBS1/LRRC32/IGFBP4/SRPX2/DUSP1/IGFBP6/A2M/CD36/COL4A1/IL1R2/CXCL13/IGFBP3/ERBB3	21
GO:0030020	GO:0030020	extracellular matrix structural constituent conferring tensile strength	12/532	41/17697	1.7181914857465526e-09	1.0824606360203282e-07	9.09243915423774e-08	COL6A3/COL3A1/COL1A2/COL1A1/COL5A1/COL15A1/COL8A2/COL5A2/COL6A2/COL18A1/COL4A1/COL9A3	12
GO:0001540	GO:0001540	amyloid-beta binding	15/532	78/17697	9.28150625400351e-09	5.360069861687027e-07	4.502344700406967e-07	TLR2/FCGR2B/LILRB2/ITGB2/C1QA/CD74/MARCO/TREM2/APBB2/BACE2/CD36/GRIA3/NLGN1/GRIA2/BCHE	15
GO:0035325	GO:0035325	Toll-like receptor binding	7/532	12/17697	1.4825878743976314e-08	7.90333382275045e-07	6.638632344468746e-07	S100A8/TLR2/SYK/S100A9/LY96/TLR1/CD36	7
GO:0050839	GO:0050839	cell adhesion molecule binding	40/532	499/17697	1.8346256246172788e-08	9.08139684185553e-07	7.628180228671845e-07	COL3A1/SYK/LILRB2/ITGB2/TGFBI/COL5A1/THBS1/LYN/FN1/PTPN6/CXCL12/S100A11/LCP1/TES/FAP/FBN1/ICAM1/IL1B/ITGA5/CAPG/IBSP/GPNMB/FXYD5/POSTN/EGFL6/ANXA2/ITGBL1/NLGN3/CLIC1/PDLIM1/LAMB1/VCAM1/NDRG1/ANXA1/CCNB2/SPP1/CDH10/NLGN1/FBLN5/ECM2	40
GO:0004896	GO:0004896	cytokine receptor activity	16/532	96/17697	2.5564289864748184e-08	1.1810701917513663e-06	9.920738452775963e-07	IL1R1/IL4R/IL10RA/CSF2RB/CCR1/CCR5/CD4/IL7R/IL13RA1/CD74/CXCR4/IL1R2/CD44/CX3CR1/GPR17/IL13RA2	16
GO:0005125	GO:0005125	cytokine activity	24/532	220/17697	5.348513570539557e-08	2.18626387248027e-06	1.8364151613603544e-06	CCL2/CXCL12/CCL20/CCL5/IL32/TNFSF10/IL1B/CCL18/CXCL6/TIMP1/IL6/IL18/CXCL2/CXCL1/CXCL14/CXCL5/PPBP/CXCL3/CXCL13/LIF/CCL4/CXCL9/SPP1/CXCL10	24
GO:0030246	GO:0030246	carbohydrate binding	27/532	271/17697	5.363129268710619e-08	2.18626387248027e-06	1.8364151613603544e-06	CLEC7A/CD33/CLEC2B/CD93/HLA-DRA/CLEC4A/HLA-DRB1/CD248/COLEC12/SELL/P4HA2/LY75/BCAN/SLC2A5/FBP1/CD69/CD302/CLEC5A/MAN2A1/CHI3L2/KLRC3/PTX3/ENPP2/OLR1/CHI3L1/LGALS3/NCAN	27
GO:0008329	GO:0008329	signaling pattern recognition receptor activity	8/532	20/17697	5.797552070853675e-08	2.232057547278665e-06	1.874880874375487e-06	CLEC7A/TLR2/CD14/LY96/TLR7/COLEC12/MARCO/CD36	8
GO:0043394	GO:0043394	proteoglycan binding	10/532	36/17697	6.96704441689488e-08	2.541137779425343e-06	2.1345016966996508e-06	PTPRC/CTSS/CTSB/COL5A1/THBS1/FN1/GPNMB/CTSK/CFH/SLIT2	10
GO:0038187	GO:0038187	pattern recognition receptor activity	8/532	21/17697	9.119550460027943e-08	3.1599242343996823e-06	2.654269160208133e-06	CLEC7A/TLR2/CD14/LY96/TLR7/COLEC12/MARCO/CD36	8
GO:1901681	GO:1901681	sulfur compound binding	25/532	250/17697	1.5589947989914782e-07	5.144682836671878e-06	4.3214241796605895e-06	PTPRC/LTBP2/COL5A1/THBS1/FN1/FBN1/SELL/CBS/GPNMB/PCOLCE/CXCL6/ANXA4/CFH/POSTN/FSTL1/ADAMTS1/LTF/CRISPLD2/THBS2/MMP7/CXCL13/SLIT2/CXCL10/ECM2/PLA2G5	25
GO:0019864	GO:0019864	IgG binding	6/532	11/17697	2.91603973099793e-07	9.170256035527862e-06	7.702820061740575e-06	FCGR2A/FCGR2B/FCER1G/FCGR1A/FCGR3B/FCGRT	6
GO:0019865	GO:0019865	immunoglobulin binding	8/532	24/17697	3.043519319150661e-07	9.170256035527862e-06	7.702820061740575e-06	FCGR2A/FCGR2B/FCER1G/FCGR1A/CD4/FCGR3B/FCGRT/LGALS3	8
GO:0004866	GO:0004866	endopeptidase inhibitor activity	20/532	175/17697	3.2539546063202135e-07	9.395793925749616e-06	7.892267093399466e-06	CSTA/COL6A3/SERPINA1/TNFAIP8/SERPINB1/SERPINF1/RARRES1/BIRC3/SERPING1/C3/TIMP1/PI3/SLPI/LTF/SERPINE1/A2M/SPINT2/BIRC5/BST2/SERPINA3	20
GO:0005126	GO:0005126	cytokine receptor binding	26/532	286/17697	5.720375266751011e-07	1.5189681968988062e-05	1.2759009841042607e-05	SYK/PYCARD/TLR5/CCL2/TGFBR2/CXCL12/CCL20/CCL5/TNFSF10/IL1B/CCL18/ITGA5/CXCL6/IL6/IL18/CXCL2/CXCL1/CXCL14/CXCL5/PPBP/CXCL3/CXCL13/LIF/CCL4/CXCL9/CXCL10	26
GO:0008236	GO:0008236	serine-type peptidase activity	20/532	182/17697	6.137245239995177e-07	1.5189681968988062e-05	1.2759009841042607e-05	CTSC/C1S/CFD/C2/SCPEP1/CTSH/FAP/PLAU/HP/GZMA/CFI/CPVL/PRSS23/LTF/MMP9/C1RL/CPD/MMP1/MMP7/DPP6	20
GO:0030414	GO:0030414	peptidase inhibitor activity	20/532	182/17697	6.137245239995177e-07	1.5189681968988062e-05	1.2759009841042607e-05	CSTA/COL6A3/SERPINA1/TNFAIP8/SERPINB1/SERPINF1/RARRES1/BIRC3/SERPING1/C3/TIMP1/PI3/SLPI/LTF/SERPINE1/A2M/SPINT2/BIRC5/BST2/SERPINA3	20
GO:0061135	GO:0061135	endopeptidase regulator activity	20/532	182/17697	6.137245239995177e-07	1.5189681968988062e-05	1.2759009841042607e-05	CSTA/COL6A3/SERPINA1/TNFAIP8/SERPINB1/SERPINF1/RARRES1/BIRC3/SERPING1/C3/TIMP1/PI3/SLPI/LTF/SERPINE1/A2M/SPINT2/BIRC5/BST2/SERPINA3	20
GO:0017171	GO:0017171	serine hydrolase activity	20/532	186/17697	8.68815266842734e-07	2.0761688962828093e-05	1.74393772255547e-05	CTSC/C1S/CFD/C2/SCPEP1/CTSH/FAP/PLAU/HP/GZMA/CFI/CPVL/PRSS23/LTF/MMP9/C1RL/CPD/MMP1/MMP7/DPP6	20
GO:0042277	GO:0042277	peptide binding	26/532	295/17697	1.0326275661853055e-06	2.385369677888056e-05	2.0036598038613124e-05	TLR2/CD14/FCGR2B/LILRB2/ITGB2/C1QA/TLR1/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DRB1/ANPEP/HLA-DPA1/CD74/MARCO/TREM2/APBB2/BACE2/CRIP1/PPIC/CD36/GRIA3/HLA-DQA1/NLGN1/GRIA2/BCHE	26
GO:0004857	GO:0004857	enzyme inhibitor activity	30/532	375/17697	1.1977450525278234e-06	2.6775397464573604e-05	2.24907644837992e-05	CSTA/COL6A3/GMFG/SERPINA1/TNFAIP8/SERPINB1/SERPINF1/RARRES1/BIRC3/SERPING1/C3/ANXA4/TIMP1/PI3/ANXA2/SLPI/LTF/APOC1/SERPINE1/A2M/SPINT2/APOC2/ANGPTL4/BIRC5/ANXA1/SLIT2/LGALS3/SLN/BST2/SERPINA3	30
