,logFC,AveExpr,t,P.Value,adj.P.Val,B
F13A1,-2.40716141846005,7.68866663117729,-15.7626524239474,2.97955389995485e-44,3.58797880632562e-40,89.7858140640266
IL1R1,-0.720734856921506,5.15558433016006,-15.3631930833565,1.54694850972969e-42,9.31417697708249e-39,85.8823348938589
CSTA,-1.67993117598402,6.9827495912154,-15.2747877744606,3.69424192558105e-42,1.48286870892823e-38,85.0220382861856
DSE,-1.25639504626604,7.47921755090939,-15.1816878307451,9.22574804182891e-42,2.77741144799259e-38,84.1175404619094
ITGAM,-0.570068288893542,5.45576934201118,-14.9698719951176,7.35784939914697e-41,1.77206444929056e-37,82.0655491610784
CLEC7A,-1.06093502173247,6.57167388059684,-14.8014638725674,3.81113599862211e-40,7.64894994923458e-37,80.4401412287664
COL6A3,-2.50189984343618,7.42271197929183,-14.7521270291585,6.16390998281666e-40,1.06036862875826e-36,79.9650170935149
IL4R,-0.805378936365848,5.90658471213627,-14.5074371795915,6.64083650633026e-39,9.99611915115363e-36,77.6159467939407
MAP3K8,-1.06573229300272,5.1127736357073,-14.4477190873495,1.18398468827348e-38,1.58417151290991e-35,77.0445512485615
S100A8,-1.746553033963,6.84913664572041,-14.3688735161815,2.53739375280087e-38,3.05552955712281e-35,76.291323240507
TLR2,-1.20319932876204,6.71245282241959,-14.3290590557344,3.72672456855009e-38,3.69721429606859e-35,75.9114864536752
FCGR2A,-1.28466041127229,7.36319422917151,-14.3236685466237,3.92570429626621e-38,3.69721429606859e-35,75.860087100067
CD14,-1.58889174230188,9.54765828817172,-14.3201690246347,4.06052047039932e-38,3.69721429606859e-35,75.8267220704907
THBD,-1.06031477788539,5.6216007078396,-14.3142685166769,4.29837237543267e-38,3.69721429606859e-35,75.770471820633
IFI30,-1.2597486483578,9.37998297421405,-14.2972289774786,5.0661541864002e-38,4.06710858084208e-35,75.6080755119502
IL10RA,-1.24537224681002,6.42934053005095,-14.1105851473057,3.05214288334117e-37,2.29711903757465e-34,73.8335715775477
