#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC20	MAD2L1	4443940	4437296	9606.ENSP00000361540	9606.ENSP00000296509	0	0	0	0	0.978	0.999	0.900	0.874	0.999
CDC7	MCM4	4447780	4435007	9606.ENSP00000393139	9606.ENSP00000262105	0	0	0	0	0.346	0.974	0.900	0.941	0.999
BUB1	BUB1B	4437860	4436731	9606.ENSP00000302530	9606.ENSP00000287598	0	0	0	0.582	0.918	0.929	0.900	0.896	0.999
CDC20	BUB1B	4443940	4436731	9606.ENSP00000361540	9606.ENSP00000287598	0	0	0	0	0.953	0.999	0.900	0.963	0.999
CFH	C3	4442881	4433951	9606.ENSP00000356399	9606.ENSP00000245907	0	0	0	0	0.118	0.870	0.900	0.933	0.999
PLAU	SERPINE1	4444017	4433266	9606.ENSP00000361850	9606.ENSP00000223095	0	0	0	0	0.214	0.881	0.900	0.926	0.999
CDC7	MCM7	4447780	4438312	9606.ENSP00000393139	9606.ENSP00000307288	0	0	0	0	0.278	0.926	0.900	0.940	0.999
BUB1	CCNB2	4437860	4436767	9606.ENSP00000302530	9606.ENSP00000288207	0	0	0	0	0.974	0.085	0.900	0.793	0.999
CFI	CFH	4446295	4442881	9606.ENSP00000378130	9606.ENSP00000356399	0	0	0	0	0.119	0.870	0.900	0.939	0.999
CDC20	UBE2C	4443940	4441865	9606.ENSP00000361540	9606.ENSP00000348838	0	0	0	0	0.982	0.905	0.900	0.866	0.999
CDC20	BUB1	4443940	4437860	9606.ENSP00000361540	9606.ENSP00000302530	0	0	0	0	0.968	0.998	0.900	0.959	0.999
NCAPG	NCAPH	4434176	4433774	9606.ENSP00000251496	9606.ENSP00000240423	0	0	0	0	0.994	0.998	0.900	0.885	0.999
CDC20	CCNB2	4443940	4436767	9606.ENSP00000361540	9606.ENSP00000288207	0	0	0	0	0.989	0.710	0.900	0.829	0.999
